ID,Author,Year,Title,Type,Task,Variable,"Inclusion (1: Yes, 2: No)",Sample,"Total N 
(Mean Age)",MeanAge,Intervention,Results,nT,nC,Num_Session,Treat_Duration_Hour,Home_Duration_Hour,Mean_Post_T,SD_Post_T,Mean_Post_C,SD_Post_C,Task_Value,nC2,Mean_Post_C,SD_Post_C,C2_Summary
28,Heeren,2009,The effects of mindfulness on executive processes and autobiographical memory specificity,LM,Autobiographical Memory Test - specific memory,accuracy,1,volunteers,36 (NR),,8 session MBCT,mindfulness > CG,18,18,8,6,36,8.22,1.35,4.72,1.4,1,,,,
28,Heeren,2009,The effects of mindfulness on executive processes and autobiographical memory specificity,EF - inhibotory control,Hayling Task,accuracy,1,volunteers,36 (NR),,8 session MBCT,mindfulness > CG,18,18,8,6,36,10.06,3.02,5.94,2.15,1,,,,
28,Heeren,2009,The effects of mindfulness on executive processes and autobiographical memory specificity,EF - cognitive flexibility,Semantic Word Fluencey,accuracy-number of examplars,1,volunteers,36 (NR),,8 session MBCT,mindfulness > CG,18,18,8,6,36,49.56,12.56,33.39,5.1,1,,,,
28,Heeren,2009,The effects of mindfulness on executive processes and autobiographical memory specificity,EF - inhibotory control,Hayling Task,error,1,volunteers,36 (NR),,8 session MBCT,mindfulness > CG,18,18,8,6,36,0.22,0.54,9.06,2.15,-1,,,,
28,Heeren,2009,The effects of mindfulness on executive processes and autobiographical memory specificity,EF-cognitive flexibility,Trail Making Task B,reaction time,1,volunteers,36 (NR),,8 session MBCT,mindfulness > CG,18,18,8,6,36,,,,,-1,,,,
29,Jain,2015,IMPROVED BRAIN FUNCTION FROM MEDITATION FOLLOWING AN AWARENESS TRAINING PROGRAMME IN SPIRITUAL MEDICINE (ATPiSM),WM,Computer Based Memory Test ,Accuracy ,1,medical students,"40  (20 for experiment 20.6 
20 for control 20.2)",20.4,15 min meditation both morning and evening,ns,20,20,,60,30,525,82,494,69,1,,,,
29,Jain,2015,IMPROVED BRAIN FUNCTION FROM MEDITATION FOLLOWING AN AWARENESS TRAINING PROGRAMME IN SPIRITUAL MEDICINE (ATPiSM),AT-selective,Digit Cancellation Test,Accuracy ,1,medical students,"40  (20 for experiment 20.6 
20 for control 20.2)",20.4,15 min meditation both morning and evening,ns,20,20,,60,30,0.86,0.15,0.83,0.17,1,,,,
29,Jain,2015,IMPROVED BRAIN FUNCTION FROM MEDITATION FOLLOWING AN AWARENESS TRAINING PROGRAMME IN SPIRITUAL MEDICINE (ATPiSM),AT-miscellaneous,Letter Substitution Test ,Accuracy ,1,medical students,"40  (20 for experiment 20.6 
20 for control 20.2)",20.4,15 min meditation both morning and evening,ns,20,20,,60,30,1.52,0.24,1.55,0.31,1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-miscellaneous,combiTVA paradigm,Accuracy ,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,ns,16,16,16,8,27,56,,,,1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-selective,d2 test of attention ,error distribution ,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,mindfulness > CG,16,16,16,8,27,56,,,,-1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-selective,d2 test of attention ,error percentage,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,mindfulness > CG,16,16,16,8,27,56,,,,-1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,EF - inhibitory control,stroop color word task ,error rate - incongruent,1,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,mindfulness > CG,16,16,16,8,27,56,,,,-1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-miscellaneous:divided,Dual attention to response task (DART),reaction time on gray digits ,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,ns,16,16,16,8,27,56,,,,-1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-miscellaneous:temporal,spatial and temporal attention network (STAN),reaction times after invalidly cued short tepmoral trials,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,ns,16,16,16,8,27,56,,,,-1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-miscellaneous,spatial and temporal attention network (STAN),reaction times after uninformative cues ,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,ns,16,16,16,8,27,56,,,,-1,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-miscellaneous:divided,Dual attention to response task (DART),response speed variability - coefficient of variation,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,ns,16,16,16,8,27,56,,,,,,,,
30,Jensen1,2012,Mindfulness training affects attention--or is it attentional effort?,AT-selective,d2 test of attention ,total error rate,,healthy meditation novices,32 (NR),,8wk weekly meeting for 2.5 hrs MBSR,mindfulness > CG,16,16,16,8,27,56,,,,,,,,
31,Jenson2,2009,The effects of mindfulness on executive processes and autobiographical memory specificity,WM,Visual Attention Task,accuracy-WM storage,2,,,,,,48,24,9,2.5,18,,,,,1,,,,
32,Jermann,2013,Cognitive functioning in patients remitted from recurrent depression: Comparison with acutely depressed patients and controls and follow-up of a Mindfulness-Based Cognitive Therapy Trial,EF- cognitive flexibility,Plus_Minus task,reaction time - shifting cost,,Experimental group: individuals remittted from depression Control: no history of depression ,56(46.27),46.27,"MBCT: 8 weekly sessions, each 2 hrs long, and encouraged to practice mindfulness",ns,,,,,,,,,,,,,,
32,Jermann,2013,Cognitive functioning in patients remitted from recurrent depression: Comparison with acutely depressed patients and controls and follow-up of a Mindfulness-Based Cognitive Therapy Trial,LM,Autobiographical Memory Test - specific memory,Accuracy - percent,,Experimental group: individuals remittted from depression Control: no history of depression ,56(46.27),46.27,"MBCT: 8 weekly sessions, each 2 hrs long, and encouraged to practice mindfulness",ns,,,,,,,,,,,,,,
33,Jha,2010,Examining the Protective Effects of Mindfulness Training on Working Memory Capacity and Affective Experience,WM,"OSPAN T1



",accuracy-recalled letters,2,Military Cohorts,48 (29.67),29.67,"MT: 8 week (2 hrs weekly) MT course (24 hrs total) called mindfulness-based mind fitness training (MMFT) delivered by a former U.S Army officer experienced in MBSR, and a full day silent retreat (8hrs) Control group: no action control group",ns,17,21,8,24,1680,36.17,17.83,,,1,,,,
33,Jha,2010,Examining the Protective Effects of Mindfulness Training on Working Memory Capacity and Affective Experience,WM,"OSPAN T2



",accuracy-recalled letters,2,Military Cohorts,48 (29.67),29.67,"MT: 8 week (2 hrs weekly) MT course (24 hrs total) called mindfulness-based mind fitness training (MMFT) delivered by a former U.S Army officer experienced in MBSR, and a full day silent retreat (8hrs) Control group: no action control group",ns,17,21,8,24,1680,32.59,23.62,,,1,,,,
34,Jha,2007,Mindfulness training modifies subsystems of attention,AT-sustained,Attentional Network Test Alerting,accuracy,1,non-clinical population; medical and nursing students,34 (27),27,"MBSR: focused attention meditation. There were 8 sessions, each session was 3 hrs long and they asked to do 30 minutes of meditation practice by themselves. Control: no MT",ns,17,17,8,24,17.5,,,,,1,,,,retreat group
34,Jha,2007,Mindfulness training modifies subsystems of attention,AT-selective,attentional network orienting,accuracy,1,non-clinical population; medical and nursing students,34 (27),27,"MBSR: focused attention meditation. There were 8 sessions, each session was 3 hrs long and they asked to do 30 minutes of meditation practice by themselves. Control: no MT",ns,17,17,8,24,17.5,,,,,1,,,,retreat group
34,Jha,2007,Mindfulness training modifies subsystems of attention,EF-conflict monitoring,Attentional Network Test- Executive,accuracy,1,non-clinical population; medical and nursing students,34 (27),27,"MBSR: focused attention meditation. There were 8 sessions, each session was 3 hrs long and they asked to do 30 minutes of meditation practice by themselves. Control: no MT",ns,17,17,8,24,17.5,,,,,1,,,,retreat group
34,Jha,2007,Mindfulness training modifies subsystems of attention,AT-sustained,Attentional Network Test Alerting,reaction time,1,non-clinical population; medical and nursing students,34 (27),27,"MBSR: focused attention meditation. There were 8 sessions, each session was 3 hrs long and they asked to do 30 minutes of meditation practice by themselves. Control: no MT",ns,17,17,8,24,17.5,,,,,-1,,,,retreat group
34,Jha,2007,Mindfulness training modifies subsystems of attention,AT-selective,Attentional Network Test Orienting ,reaction time,1,non-clinical population; medical and nursing students,34 (27),27,"MBSR: focused attention meditation. There were 8 sessions, each session was 3 hrs long and they asked to do 30 minutes of meditation practice by themselves. Control: no MT ",MBSR > Control,17,17,8,24,17.5,,,,,-1,,,,retreat group
34,Jha,2007,Mindfulness training modifies subsystems of attention,EF-conflict monitoring,Attentional Network Test- Executive,reaction time,1,non-clinical population; medical and nursing students,34 (27),27,"MBSR: focused attention meditation. There were 8 sessions, each session was 3 hrs long and they asked to do 30 minutes of meditation practice by themselves. Control: no MT ",ns,17,17,8,24,17.5,,,,,-1,,,,retreat group
35,Jha,2015,"Minds ""At Attention"": Mindfulness Training Curbs Attentional Lapses in Military Cohorts",AT-sustained,Sustained Attention to Response (SART),accuracy-a prime,1,Military Cohorts,64 (24.99),24.99,NTC: military no train control group,NTC < CIV,40,24,8,64,,0.701,,0.837,,1,40,,,
35,Jha,2015,"Minds ""At Attention"": Mindfulness Training Curbs Attentional Lapses in Military Cohorts",EF-inhibotory control,Sustained Attention to Response (SART),comission errors-number ,1,Military Cohorts,64 (24.99),24.99,NTC: military no train control group,NTC > CIV,40,24,8,64,,0.71,,0.53,,-1,40,,,
35,Jha,2015,"Minds ""At Attention"": Mindfulness Training Curbs Attentional Lapses in Military Cohorts",AT-sustained,Sustained Attention to Response (SART),reaction time- intraindividual coefficient of variation,1,Military Cohorts,64 (24.99),24.99,NTC: military no train control group,ns,40,24,8,64,,0.473,,0.437,,-1,40,,,
36,Johansson,2015,Mindfulness-Based Stress Reduction (MBSR) delivered live on the Internet to individuals suffering from mental fatigue after an acquired brain injury,AT-selective,Digit Symbol-Coding,Accuracy ,1,Participants with Traumatic Brain Injury (TBI) or stroke victims,21 48.5),48.5,"MBSR: 8 sessions over 8 weeks, 2.5hr sessions with one full day 7 hr session. Participants were asked to meditate at home 6 of 7 days. The program focused on loving/kindness meditation and awareness of breath Control: Walking control. Met 8 weeks, 1.5 hrs per week and encouraged to walk on their own time as well ",Control > MBSR,12,9,13,9,27,10.4,3,11.6,4.1,1,,,,
36,Johansson,2015,Mindfulness-Based Stress Reduction (MBSR) delivered live on the Internet to individuals suffering from mental fatigue after an acquired brain injury,AT-miscellaneous,attentional blink task ,Accuracy - T2 504 ms,1,Participants with Traumatic Brain Injury (TBI) or stroke victims,21 48.5,48.5,"MBSR: 8 sessions over 8 weeks, 2.5hr sessions with one full day 7 hr session. Participants were asked to meditate at home 6 of 7 days. The program focused on loving/kindness meditation and awareness of breath Control: Walking control. Met 8 weeks, 1.5 hrs per week and encouraged to walk on their own time as well ",MBSR>Control,12,9,13,9,27,73,19,66,32,1,,,,
36,Johansson,2015,Mindfulness-Based Stress Reduction (MBSR) delivered live on the Internet to individuals suffering from mental fatigue after an acquired brain injury,AT-miscellaneous,attentional blink task ,Accuracy - T2 756 ms,2,Participants with Traumatic Brain Injury (TBI) or stroke victims,21 48.5,48.5,"MBSR: 8 sessions over 8 weeks, 2.5hr sessions with one full day 7 hr session. Participants were asked to meditate at home 6 of 7 days. The program focused on loving/kindness meditation and awareness of breath Control: Walking control. Met 8 weeks, 1.5 hrs per week and encouraged to walk on their own time as well ",ns,12,9,13,9,27,81,19,70,21,1,,,,
36,Johansson,2015,Mindfulness-Based Stress Reduction (MBSR) delivered live on the Internet to individuals suffering from mental fatigue after an acquired brain injury,AT-miscellaneous,attentional blink task ,Accuracy -T2 252 ms,1,Participants with Traumatic Brain Injury (TBI) or stroke victims,21 48.5,48.5,"MBSR: 8 sessions over 8 weeks, 2.5hr sessions with one full day 7 hr session. Participants were asked to meditate at home 6 of 7 days. The program focused on loving/kindness meditation and awareness of breath Control: Walking control. Met 8 weeks, 1.5 hrs per week and encouraged to walk on their own time as well ",ns,12,9,13,9,27,48,40,52,26,1,,,,
38,Johns,2016,Randomized controlled pilot trial of mindfulness-based stress reduction for breast and colorectal cancer survivors: Effects on cancer-related cognitive impairment,EF - conflict monitoring,Stroop Color*Worded Test,error rate,1,Breast and Colorectal Cancer Survivors ,71 (56.65),56.63,"MBSR: 8 weekly classes, each 2.5 hrs each focusing on present moment awareness, standard all day retreat not included, 20 minute home meditation practice Control: ES: Fatigue Education and Support: share experience of cancer-related symptoms, focused on cancer symtoms fatigue and challenges they have faced ",MBSR > ES,35,36,8,2,,0.02,0.05,0.11,0.24,-1,,,,
39,Johnson,2015,One-session mindfulness meditation: A randomized controlled study of effects on cognition and mood,AT-selective,Symbol Digit Modalities Test ,Accuracy,1,College Students,67 (23.4),23.4,MM: single session of 25 minutes Control: Book listenining control,ns,41,26,25,1,0.42,59.2,8.09,60.7,7.8,1,,,,
39,Johnson,2015,One-session mindfulness meditation: A randomized controlled study of effects on cognition and mood,WM,Computer-Adaptive Adjustable Two Back Task ,Accuracy - Extended Hit Rate ,1,College Students,67 (23.4),23.4,MM: single session of 25 minutes Control: Book listenining control,ns,41,26,25,1,0.42,2.5,3.3,2.3,2.9,1,,,,
39,Johnson,2015,One-session mindfulness meditation: A randomized controlled study of effects on cognition and mood,WM,Forward Digit Span,Accuracy - Sum of Scores,1,College Students,67 (23.4),23.4,MM: single session of 25 minutes Control: Book listenining control,ns,41,26,25,1,0.42,10.6,2.3,11.1,1.9,1,,,,
39,Johnson,2015,One-session mindfulness meditation: A randomized controlled study of effects on cognition and mood,WM,Backward Digit Span ,Accuracy - Sum of Scores,1,College Students,67 (23.4),23.4,MM: single session of 25 minutes Control: Book listenining control,ns,41,26,25,1,0.42,7.8,2,8.3,2.3,1,,,,
39,Johnson,2015,One-session mindfulness meditation: A randomized controlled study of effects on cognition and mood,AT-selective,Trial Making Test Part A,Reaction time,1,College Students,67 (23.4),23.4,MM: single session of 25 minutes Control: Book listenining control,ns,41,26,25,1,0.42,25.4,7.7,23.1,6.6,-1,,,,
39,Johnson,2015,One-session mindfulness meditation: A randomized controlled study of effects on cognition and mood,EF-cognitive flexibility,Trial Making Test Part B,Reaction time,1,College Students,67 (23.4),23.4,MM: single session of 25 minutes Control: Book listenining control,ns,41,26,25,1,0.42,59.6,18.6,54.7,16,-1,,,,
40,Josefsson,2014,"The effects of a short-term mindfulness based intervention on self-reported mindfulness, decentering, executive attention, psychological health, and coping style: Examining unique mindfulness effects and mediators",N/A,Stroop Color*Word Test,Error Rate,2,Volunteers from workplaces within the county of Halland,50 (47),47,"MBI:not manualized program,  mainly standard sitting mindfulness practices, taught to do non-judgemental awareness with a general attitude of acceptance; intervention was 4 weeks long, with 2 sessions per week for 45 minutes each Control: Wait-list control ",ns,21,29,7,32,0.75,0.4,1.6,0.7,2,-1,,,,
40,Josefsson,2014,"The effects of a short-term mindfulness based intervention on self-reported mindfulness, decentering, executive attention, psychological health, and coping style: Examining unique mindfulness effects and mediators",N/A,Stroop Color*Word Test,Interference (Incongruence-Neutral,2,Volunteers from workplaces within the county of Halland,50 (47),47,"MBI:not manualized program,  mainly standard sitting mindfulness practices, taught to do non-judgemental awareness with a general attitude of acceptance; intervention was 4 weeks long, with 2 sessions per week for 45 minutes each Control: Wait-list control ",ns,21,29,7,32,0.75,70.4,89.3,66.1,84.7,-1,,,,
40,Josefsson,2014,"The effects of a short-term mindfulness based intervention on self-reported mindfulness, decentering, executive attention, psychological health, and coping style: Examining unique mindfulness effects and mediators",EF - inhibotory control,Stroop Color*Word Test - interference,reaction time,1,Volunteers from workplaces within the county of Halland,50 (47),47,"MBI:not manualized program,  mainly standard sitting mindfulness practices, taught to do non-judgemental awareness with a general attitude of acceptance; intervention was 4 weeks long, with 2 sessions per week for 45 minutes each Control: Wait-list control ",ns,21,29,7,32,0.75,71.4,91.57,86.3,88.9,-1,,,,
40,Josefsson,2014,"The effects of a short-term mindfulness based intervention on self-reported mindfulness, decentering, executive attention, psychological health, and coping style: Examining unique mindfulness effects and mediators",N/A,Stroop Color*Word Test,Reaction Time,2,Volunteers from workplaces within the county of Halland,50 (47),47,"MBI:not manualized program,  mainly standard sitting mindfulness practices, taught to do non-judgemental awareness with a general attitude of acceptance; intervention was 4 weeks long, with 2 sessions per week for 45 minutes each Control: Wait-list control ",ns,21,29,7,32,0.75,890.2,178.5,846.2,178.8,-1,,,,
42,Kuo,2015,Reset a task set after five minutes of mindfulness practice,AT-selective,Visual Search,Accuracy ,,College Students,32,,Mindfulness group: deep breathing concentration for 5 minutes Control: passively viewed pictures of nature for 5 minutes,ns,,,,,,,,,,1,,,,
42,Kuo,2015,Reset a task set after five minutes of mindfulness practice,WM,Letter Judgement Task ,Accuracy ,,College Students,32,,Mindfulness group: deep breathing concentration for 5 minutes Control: passively viewed pictures of nature for 5 minutes,ns,,,,,,,,,,1,,,,
42,Kuo,2015,Reset a task set after five minutes of mindfulness practice,AT-selective,Dual Task ,contrast between invalid and neutral conditions ,,College Students,32,,Mindfulness group: deep breathing concentration for 5 minutes Control: passively viewed pictures of nature for 5 minutes,ns,16,16,16,1,0.08,,,,,,,,,
42,Kuo,2015,Reset a task set after five minutes of mindfulness practice,AT-selective,Visual Search,Error rates,,College Students,32,,Mindfulness group: deep breathing concentration for 5 minutes Control: passively viewed pictures of nature for 5 minutes,ns,,,,,,,,,,-1,,,,
42,Kuo,2015,Reset a task set after five minutes of mindfulness practice,WM,Letter Judgement Task ,Reaction time ,,College Students,32,,Mindfulness group: deep breathing concentration for 5 minutes Control: passively viewed pictures of nature for 5 minutes,ns,,,,,,,,,,-1,,,,
43,Lai,2015,A comparison of the attentional effects of single-session mindfulness meditation and Fp-HEG neurofeedback in novices,AT - sustained,Attentional Network Test Alerting,reaction time,1,College Students,44 (18.86),18.86,"MM: pay attention to their breathing for 15 minutes, with a chime ringing aprx every 3 minutes Control: counting backwards control with chime ringing aprx every 3 minutes",ns,23,21,1,0.25,,43.96,27.92,55.63,27.92,-1,26,31.52,18.69,passive counting backwards
43,Lai,2015,A comparison of the attentional effects of single-session mindfulness meditation and Fp-HEG neurofeedback in novices,AT - selective,Attentional Network Test Orienting ,reaction time,1,College Students,44 (18.86),18.86,"MM: pay attention to their breathing for 15 minutes, with a chime ringing aprx every 3 minutes Control: counting backwards control with chime ringing aprx every 3 minutes",ns,23,21,1,0.25,,47.78,20.46,37.53,15.58,-1,26,43.04,23.2,passive counting backwards
43,Lai,2015,A comparison of the attentional effects of single-session mindfulness meditation and Fp-HEG neurofeedback in novices,EF - conflict monitoring,Attentional Network Test Executive,reaction time,1,College Students,44 (18.86),18.86,"MM: pay attention to their breathing for 15 minutes, with a chime ringing aprx every 3 minutes Control: counting backwards control with chime ringing aprx every 3 minutes",ns,23,21,1,0.25,,122.96,29.33,111.68,40.06,-1,26,126.16,35.55,passive counting backwards
43,Lai,2015,A comparison of the attentional effects of single-session mindfulness meditation and Fp-HEG neurofeedback in novices,AT-selective,Trail making test A,reaction time,1,College Students,44 (18.86),18.86,"MM: pay attention to their breathing for 15 minutes, with a chime ringing aprx every 3 minutes Control: counting backwards control with chime ringing aprx every 3 minutes",ns,23,21,1,0.25,,,,,,-1,26,,,
43,Lai,2015,A comparison of the attentional effects of single-session mindfulness meditation and Fp-HEG neurofeedback in novices,EF-cognitive flexibility,Trail making test B,reaction time,1,College Students,44 (18.86),18.86,"MM: pay attention to their breathing for 15 minutes, with a chime ringing aprx every 3 minutes Control: counting backwards control with chime ringing aprx every 3 minutes",ns,23,21,1,0.25,,,,,,-1,26,,,
44,Larson,2013,The impact of a brief mindfulness meditation intervention on cognitive control and error-related performance monitoring,AT - sustained,Flanker Task - congruent,error rates,2,College Students,55 (20.25),20.25,Mindfulness group: 14 minute audio clip focusing on their breathing and the moment and breathing exercises Control: information about being aware of the enviornment and ethical behavior but no actual meditation practice,ns,28,27,,,,2.4,2,3,3.9,-1,,,,
44,Larson,2013,The impact of a brief mindfulness meditation intervention on cognitive control and error-related performance monitoring,AT - selective,Flanker Task - incongruent,error rates,2,College Students,55 (20.25),20.25,Mindfulness group: 14 minute audio clip focusing on their breathing and the moment and breathing exercises Control: information about being aware of the enviornment and ethical behavior but no actual meditation practice,ns,28,27,,,,10.2,6.1,10,6.5,-1,,,,
44,Larson,2013,The impact of a brief mindfulness meditation intervention on cognitive control and error-related performance monitoring,AT - sustained,Flanker Task - congruent,reaction time,1,College Students,55 (20.25),20.25,Mindfulness group: 14 minute audio clip focusing on their breathing and the moment and breathing exercises Control: information about being aware of the enviornment and ethical behavior but no actual meditation practice,ns,28,27,,,,375.9,26.1,378.4,39.3,-1,,,,
44,Larson,2013,The impact of a brief mindfulness meditation intervention on cognitive control and error-related performance monitoring,AT - selective,Flanker Task - incongruent,reaction time,1,College Students,55 (20.25),20.25,Mindfulness group: 14 minute audio clip focusing on their breathing and the moment and breathing exercises Control: information about being aware of the enviornment and ethical behavior but no actual meditation practice,ns,28,27,,,,429.4,24.2,428.5,38.9,-1,,,,
45,Leach,2015,Transcendental Meditation for the improvement of health and wellbeing in community-dwelling dementia caregivers [TRANSCENDENT]: a randomised wait-list controlled trial,AT-miscellaneous-attention plus WM,WebNeuro-Attention,Accuracy,,Non-professional Dementia caregivers (ex: family ) with no previous experience in Transcendental Meditation (T.M) ,17 (66.3),66.3,"Intervention: TM: 12 week (14 hr) training program with a 12 week follow up, via experienced instructor Control: 24 week wait list control",ns,8,9,,12,14,4.5,2.04,3.17,2.54,1,,,,
45,Leach,2015,Transcendental Meditation for the improvement of health and wellbeing in community-dwelling dementia caregivers [TRANSCENDENT]: a randomised wait-list controlled trial,LM,WebNeuro-Memory,Accuracy,,Non-professional Dementia caregivers (ex: family ) with no previous experience in Transcendental Meditation (T.M) ,17 (66.3),66.3,"Intervention: TM: 12 week (14 hr) training program with a 12 week follow up, via experienced instructor Control: 24 week wait list control",ns,8,9,,12,14,4.29,1.72,4.67,1.87,1,,,,
45,Leach,2015,Transcendental Meditation for the improvement of health and wellbeing in community-dwelling dementia caregivers [TRANSCENDENT]: a randomised wait-list controlled trial,EF-conflict monitoring and cognitive flexibility,WebNeuro-EF,Accuracy,,Non-professional Dementia caregivers (ex: family ) with no previous experience in Transcendental Meditation (T.M) ,17 (66.3),66.3,"Intervention: TM: 12 week (14 hr) training program with a 12 week follow up, via experienced instructor Control: 24 week wait list control",ns,8,9,,12,14,4.42,3.26,5.11,2.52,1,,,,
46,Lee,2014,Investigating cognitive flexibility as a potential mechanism of mindfulness in Generalized Anxiety Disorder,EF - inhibotory control,emotional Stroop - threat inhibition,Error - interference,1,Participants with Generalized Anxiety Disorder (GAD),28 (27.61),27.61,Mindfulness group: focused attention to breath for 20 minutes Control: Thought Wander: think about whatever comes to mind for 20 minutes,Mindfulness > TW,14,14,,,,75.97,11.4,85.09,12.44,,,,,
46,Lee,2014,Investigating cognitive flexibility as a potential mechanism of mindfulness in Generalized Anxiety Disorder,EF - cognitive flexibility,emotional Stroop - switching,Error - interference,1,Participants with Generalized Anxiety Disorder (GAD),28 (27.61),27.61,Mindfulness group: focused attention to breath for 20 minutes Control: Thought Wander: think about whatever comes to mind for 20 minutes,ns,14,14,,,,86.21,14.54,95.45,17.78,,,,,
47,Lenze,2014,Mindfulness‐based stress reduction for older adults with worry symptoms and co‐occurring cognitive dysfunction,LM,List and paragraph recall,,,Older Adults over the age of 65 with worry symptoms as well as cognitive dysfunction in reference to concentration/memory ,34 (70.8),70.8,"MBSR: tradiational 8 sessions which were 2.5 hrs each week, and one day long retreat; 12-session: 12 sessions each 2.5 hrs including the retreat andall the information was repeated in at least three sessions ","ns (both 8-session and 12 session results were similar, showing improvement)",,,,,,,,,,,,,,
47,Lenze,2014,Mindfulness‐based stress reduction for older adults with worry symptoms and co‐occurring cognitive dysfunction,EF - cognitive flexibility,Verbal fluency,,,Older Adults over the age of 65 with worry symptoms as well as cognitive dysfunction in reference to concentration/memory ,34 (70.8),70.8,"MBSR: tradiational 8 sessions which were 2.5 hrs each week, and one day long retreat; 12-session: 12 sessions each 2.5 hrs including the retreat andall the information was repeated in at least three sessions ",ns,,,,,,,,,,,,,,
47,Lenze,2014,Mindfulness‐based stress reduction for older adults with worry symptoms and co‐occurring cognitive dysfunction,WM,Digit span,,,Older Adults over the age of 65 with worry symptoms as well as cognitive dysfunction in reference to concentration/memory ,34 (70.8),70.8,"MBSR: tradiational 8 sessions which were 2.5 hrs each week, and one day long retreat; 12-session: 12 sessions each 2.5 hrs including the retreat andall the information was repeated in at least three sessions ",ns,,,,,,,,,,,,,,
48,Lloyd ,2016,Examining the protective effects of mindfulness training on working memory capacity and affective experience,LM ,Recognition Memory Performance - EXPERIMENT 1,AT-selective,Attentional network test- Orienting,college Students,81 (20) ,20,Meditation: 3 minute mindfulness exercise Control: 3 minute neutral documentary,ns,40,,1,0.05,0,,,,,1,,,,
48,Lloyd ,2016,Examining the protective effects of mindfulness training on working memory capacity and affective experience,LM,Recognition Memory Performance - EXPERIMENT 2,AT-sustained,Attentional network test- Alerting,college Students,81 (20) ,20,Meditation: 3 minute mindfulness exercise Control: 3 minute neutral documentary,ns,41,,1,0.05,0,,,,,1,,,,
49,Lutz,2009,Mental Training Enhances Attentional Stability: Neural and Behavioral Evidence,AT-selective,selective attention auditory task,mean reaction time,,"Experienced meditation practitioners for the control group, and individuals with no previous meditation experience for the control group",40 (41),41,"Meditation: 3 month retreat, 10-12 hrs of meditation per day, practiced Vipassana meditation which includes both focused attention and open monitoring meditation as well as Metta meditation which is a loving/kindness meditation Control: 1 hr group class on Vipassana meditation before each visit to the lab and 20 minute daily meditation ",ns,17,23,,1,0.05,,,,,,,,,
49,Lutz,2009,Mental Training Enhances Attentional Stability: Neural and Behavioral Evidence,AT-divided,dichotic listening task ,mean reaction time,,"Experienced meditation practitioners for the control group, and individuals with no previous meditation experience for the control group",40 (41),41,"Meditation: 3 month retreat, 10-12 hrs of meditation per day, practiced Vipassana meditation which includes both focused attention and open monitoring meditation as well as Metta meditation which is a loving/kindness meditation Control: 1 hr group class o",ns,17,23,,1,0.05,,,,,,,,,
49,Lutz,2009,Mental Training Enhances Attentional Stability: Neural and Behavioral Evidence,AT-miscellaneous-temporal,attentional blink task ,reaction time,,"Experienced meditation practitioners for the control group, and individuals with no previous meditation experience for the control group",40 (41),41,"Meditation: 3 month retreat, 10-12 hrs of meditation per day, practiced Vipassana meditation which includes both focused attention and open monitoring meditation as well as Metta meditation which is a loving/kindness meditation Control: 1 hr group class o",ns,17,23,,1,0.05,,,,,-1,,,,
50,MacCoon,2014,No Sustained Attention Differences in a Longitudinal Randomized Trial Comparing Mindfulness Based Stress Reduction versus Active Control,AT-sustained,Continuous Performacne Test,accuracy-a prime,1,"Volunteers from a larger study who were offered monetary compensation and free ""8 week program""; Non-Clinical ",54 (46),46,"MBSR: first and last meeting were 3 hrs, otherwise meet once a week for 2.5 hrs for 8 weeks and all day (7 hrs) after week 6, with 45 minutes of practice at home 6 days a week. Meditation was focused attention based, focusing on the present purposefully Control: Health Enhancement Program (HEP) Forms of therapeutic elements that did not include mindfulness and more health/physical based",ns,29,25,8,28,42,0.91,,0.9,,1,,,,
